"","X","RT","SERIALNO","SPORDER","PUMA","ST","ADJINC","AGEP","CIT","CITWP","COW","DDRS","DEAR","DEYE","DOUT","DPHY","DRAT","DRATX","DREM","ENG","FER","GCL","GCM","GCR","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWMNP","JWRIP","JWTR","LANP","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","MLPA","MLPB","MLPCD","MLPE","MLPFG","MLPH","MLPI","MLPJ","MLPK","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RELP","RETP","SCH","SCHG","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKL","WKW","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DIS","DRIVESP","ESP","ESR","FHICOVP","FOD1P","FOD2P","HICOV","HISP","INDP","JWAP","JWDP","MIGPUMA","MIGSP","MSP","NAICSP","NATIVITY","NOP","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","SFN","SFR","SOCP","VPS","WAOB","FAGEP","FANCP","FCITP","FCITWP","FCOWP","FDDRSP","FDEARP","FDEYEP","FDISP","FDOUTP","FDPHYP","FDRATP","FDRATXP","FDREMP","FENGP","FESRP","FFERP","FFODP","FGCLP","FGCMP","FGCRP","FHINS1P","FHINS2P","FHINS3C","FHINS3P","FHINS4C","FHINS4P","FHINS5C","FHINS5P","FHINS6P","FHINS7P","FHISP","FINDP","FINTP","FJWDP","FJWMNP","FJWRIP","FJWTRP","FLANP","FLANXP","FMARHDP","FMARHMP","FMARHTP","FMARHWP","FMARHYP","FMARP","FMIGP","FMIGSP","FMILPP","FMILSP","FOCCP","FOIP","FPAP","FPERNP","FPINCP","FPOBP","FPOWSP","FPRIVCOVP","FPUBCOVP","FRACP","FRELP","FRETP","FSCHGP","FSCHLP","FSCHP","FSEMP","FSEXP","FSSIP","FSSP","FWAGP","FWKHP","FWKLP","FWKWP","FWRKP","FYOEP","stdworker"
"19955",90079,"P",1292901,2,2700,"Texas/TX",1007588,40,"Born in the U.S.",NA,"Local government employee","No","No","No","No","No",NA,NA,"No",NA,NA,"No",NA,NA,"Yes","No","No","No","No","No","No",0,30,"Drove alone","Car, truck, or van",NA,"No, speaks only English","Married","No","No","Two times","No",2011,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Husband/wife","None","No, has not attended in the last 3 months",NA,"Bachelor's degree",0,"Male","None","None",62000,40,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",NA,"Single","English","Not reported",NA,"Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No","BIOLOGY",NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","ADM-JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES","8:00 a.m. to 8:04 a.m.","7:30 a.m. to 7:34 a.m.",NA,NA,"Now married, spouse present","ADM-JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES","Native",NA,"No (includes GQ)","PRT-DETECTIVES AND CRIMINAL INVESTIGATORS",NA,62000,62000,"New Mexico/NM","376","02700","Texas/TX","With private health insurance coverage","Without public health coverage","January through March","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No (includes GQ)","Yes","No",NA,NA,"PRT-DETECTIVES AND CRIMINAL INVESTIGATORS",NA,"US state (POB = 001-059)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
"16983",77352,"P",1025891,1,3701,"Pennsylvania/PA",1007588,43,"Born in the U.S.",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"Yes",NA,NA,"No",NA,NA,"Yes","No","No","No","No","No","No",0,45,"Drove alone","Car, truck, or van",NA,"No, speaks only English","Separated","No","No","One time","No",2001,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Reference person","None","No, has not attended in the last 3 months",NA,"some college credit, no degree",0,"Male","None","None",87000,45,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",NA,"Multiple","White","Black",NA,"With a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","TRN-COURIERS AND MESSENGERS","7:45 a.m. to 7:49 a.m.","7:00 a.m. to 7:04 a.m.",NA,NA,"Separated","TRN-COURIERS AND MESSENGERS","Native",NA,"No (includes GQ)","OFF-COURIERS AND MESSENGERS",NA,87000,87000,"Pennsylvania/PA","501 percent or more","02400","Pennsylvania/PA","With private health insurance coverage","Without public health coverage","January through March","Two or More Races","Two or More Races","White; Black or African American","No","No","Yes","No",2,"No","No","Yes","No (includes GQ)",NA,NA,NA,NA,"OFF-COURIERS AND MESSENGERS",NA,"US state (POB = 001-059)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
"15050",68414,"P",525209,2,200,"North Dakota/ND",1007588,48,"Born in the U.S.",NA,"Private not-for-profit employee","No","No","No","No","No",NA,NA,"No",NA,NA,"No",NA,NA,"Yes","No","No","No","No","No","No",0,10,"Drove alone","Car, truck, or van",NA,"No, speaks only English","Married","No","No","One time","No",1991,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Did not report","No","Did not report","No","None","None","Husband/wife","None","No, has not attended in the last 3 months",NA,"some college credit, no degree",0,"Male","None","None",42000,80,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",NA,"Multiple","Norwegian","Native American",NA,"Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","MED-NURSING CARE FACILITIES (SKILLED NURSING FACILITIES)","9:40 p.m. to 9:44 p.m.","9:30 p.m. to 9:39 p.m.",NA,NA,"Now married, spouse present","MED-NURSING CARE FACILITIES (SKILLED NURSING FACILITIES)","Native",NA,"No (includes GQ)","HLS-NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES",NA,42000,42000,"North Dakota/ND","448","00200","North Dakota/ND","With private health insurance coverage","Without public health coverage","July through September","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No (includes GQ)",NA,NA,NA,NA,"HLS-NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES",NA,"US state (POB = 001-059)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
"6821",30772,"P",1091272,2,600,"Idaho/ID",1007588,25,"Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No","Very well",NA,NA,NA,NA,"No","No","No","No","No","No","No",0,40,"Drove alone","Car, truck, or van","Spanish","Yes, speaks another language","Married","No","No","One time","No",2009,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Husband/wife","000990","No, has not attended in the last 3 months",NA,"Regular high school diploma",0,"Male","None","None",39000,40,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",2007,"Multiple","West Indian","African","2000 or later","Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No",NA,NA,"No health insurance coverage","Puerto Rican","MFG-IRON AND STEEL MILLS AND STEEL PRODUCTS","7:00 a.m. to 7:04 a.m.","6:20 a.m. to 6:24 a.m.",NA,NA,"Now married, spouse present","MFG-IRON AND STEEL MILLS AND STEEL PRODUCTS","Native",NA,"No (includes GQ)","TRN-DRIVER/SALES WORKERS AND TRUCK DRIVERS",NA,39000,39990,"Puerto Rico","140","00490","Idaho/ID","Without private health insurance coverage","Without public health coverage","October through December","Two or More Races","Two or More Races","White; Black or African American","No","No","Yes","No",2,"No","No","Yes","No (includes GQ)",NA,NA,NA,NA,"TRN-DRIVER/SALES WORKERS AND TRUCK DRIVERS",NA,"PR and US Island Areas (POB = 060-099)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
"14417",65495,"P",161004,4,4400,"North Carolina/NC",1007588,40,"Born in the U.S.",NA,"Local government employee","No","No","No","No","No",NA,NA,"No",NA,"No","No",NA,NA,"Yes","No","No","No","No","No","No",0,55,"Drove alone","Car, truck, or van",NA,"No, speaks only English","Never married or under 15 years old",NA,NA,NA,NA,NA,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","Yes","Did not report","None","None","Unmarried partner","None","No, has not attended in the last 3 months",NA,"Associate's degree",0,"Female","None","None",32000,40,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",NA,"Multiple","English","American",NA,"Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","ADM-JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES","7:25 a.m. to 7:29 a.m.","6:30 a.m. to 6:34 a.m.",NA,NA,"Never married","ADM-JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES","Native",NA,"No (includes GQ)","OFF-DISPATCHERS","Females with no own children",32000,32000,"Alaska/AK","259","04300","North Carolina/NC","With private health insurance coverage","Without public health coverage","January through March","Two or More Races","Two or More Races","White; Black or African American","No","No","Yes","No",2,"No","No","Yes","No (includes GQ)",NA,NA,NA,NA,"OFF-DISPATCHERS",NA,"US state (POB = 001-059)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
"16518",75154,"P",183285,3,2301,"Pennsylvania/PA",1007588,26,"Born in the U.S.",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No",NA,NA,NA,NA,NA,"Yes","No","No","No","No","No","No",0,3,"Drove alone","Car, truck, or van",NA,"No, speaks only English","Never married or under 15 years old",NA,NA,NA,NA,NA,"No, different house in US or Puerto Rico","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Housemate or roommate","None","No, has not attended in the last 3 months",NA,"some college credit, no degree",0,"Male","None","None",50000,55,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",NA,"Single","German","Not reported",NA,"Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","MFG-DAIRY PRODUCTS","2:40 p.m. to 2:44 p.m.","2:40 p.m. to 2:49 p.m.","03700","Pennsylvania/PA","Never married","MFG-DAIRY PRODUCTS","Native",NA,"No (includes GQ)","PRD-FOOD PROCESSING WORKERS, ALL OTHER",NA,50000,50000,"Pennsylvania/PA","405","02300","Pennsylvania/PA","With private health insurance coverage","Without public health coverage","October through December","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No (includes GQ)",NA,NA,NA,NA,"PRD-FOOD PROCESSING WORKERS, ALL OTHER",NA,"US state (POB = 001-059)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
"20904",94091,"P",896637,1,51244,"Virginia/VA",1007588,32,"Born in the U.S.",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No",NA,NA,"No",NA,NA,"Yes","No","No","No","No","No","No",0,22,"Drove alone","Car, truck, or van",NA,"No, speaks only English","Never married or under 15 years old",NA,NA,NA,NA,NA,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Reference person","None","No, has not attended in the last 3 months",NA,"Regular high school diploma",0,"Male","None","None",38000,45,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",NA,"Single","Black","Not reported",NA,"Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","RET-AUTOMOTIVE PARTS, ACCESSORIES, AND TIRE STORES","6:20 a.m. to 6:24 a.m.","6:00 a.m. to 6:04 a.m.",NA,NA,"Never married","RET-AUTOMOTIVE PARTS, ACCESSORIES, AND TIRE STORES","Native",NA,"No (includes GQ)","OFF-CUSTOMER SERVICE REPRESENTATIVES",NA,38000,38000,"Virginia/VA","304","51256","Virginia/VA","With private health insurance coverage","Without public health coverage","July through September","Black or African American alone","Black or African American alone","Black or African American alone","No","No","Yes","No",1,"No","No","No","No (includes GQ)",NA,NA,NA,NA,"OFF-CUSTOMER SERVICE REPRESENTATIVES",NA,"US state (POB = 001-059)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
"6150",27801,"P",429884,1,3300,"Georgia/GA",1007588,48,"Born in the U.S.",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No",NA,NA,"No",NA,NA,"Yes","Yes","No","No","No","No","No",0,25,"Drove alone","Car, truck, or van",NA,"No, speaks only English","Married","No","No","One time","No",1996,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Reference person","None","No, has not attended in the last 3 months",NA,"Bachelor's degree",0,"Male","None","None",90000,60,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",NA,"Multiple","Irish","Polish",NA,"Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No","GENERAL EDUCATION",NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","CON-CONSTRUCTION, INCL CLEANING DURING AND IMM AFTER","5:55 a.m. to 5:59 a.m.","5:30 a.m. to 5:34 a.m.",NA,NA,"Now married, spouse present","CON-CONSTRUCTION, INCL CLEANING DURING AND IMM AFTER","Native",NA,"No (includes GQ)","MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE MANAGERS AND POSTMASTERS AND MAIL SUPERINTENDENTS",NA,90000,90000,"New Jersey/NJ","501 percent or more","01090","Georgia/GA","With private health insurance coverage","Without public health coverage","January through March","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No (includes GQ)","No","No",NA,NA,"MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE MANAGERS AND POSTMASTERS AND MAIL SUPERINTENDENTS *",NA,"US state (POB = 001-059)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
"19584",88435,"P",994315,2,6701,"Texas/TX",1007588,45,"Born in the U.S.",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No","Very well","No","No",NA,NA,"Yes","No","No","No","No","No","No",0,30,"Drove alone","Car, truck, or van","Spanish","Yes, speaks another language","Never married or under 15 years old",NA,NA,NA,NA,NA,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Biological son or daughter","None","No, has not attended in the last 3 months",NA,"some college credit, no degree",0,"Female","None","None",14800,40,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",NA,"Single","Mexican","Not reported",NA,"Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No",NA,NA,"With health insurance coverage","Mexican","EDU-ELEMENTARY AND SECONDARY SCHOOLS","7:10 a.m. to 7:14 a.m.","6:40 a.m. to 6:44 a.m.",NA,NA,"Never married","EDU-ELEMENTARY AND SECONDARY SCHOOLS","Native",NA,"No (includes GQ)","EDU-TEACHER ASSISTANTS","Females with own children 6 to 17 years only",14800,14800,"Indiana/IN","165","06700","Texas/TX","With private health insurance coverage","Without public health coverage","April through June","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No (includes GQ)",NA,NA,"In subfamily 1","Parent in a parent/child subfamily","EDU-TEACHER ASSISTANTS",NA,"US state (POB = 001-059)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
"5920",26803,"P",1497569,2,8613,"Florida/FL",1007588,26,"Not a citizen of the U.S.",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No","Not at all","Yes",NA,NA,NA,"No","No","No","No","No","No","No",0,15,NA,"Bus or trolley bus","Spanish","Yes, speaks another language","Married","No","No","One time","No",2007,"No, outside US and Puerto Rico","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Husband/wife","None","No, has not attended in the last 3 months",NA,"Regular high school diploma",0,"Female","None","None",4500,48,"Within the past 12 months","less than 14 weeks worked during past 12 months","Worked",2016,"Single","Salvadoran","Not reported","2000 or later","Without a disability",NA,NA,"Civilian employed, at work","No",NA,NA,"No health insurance coverage","Salvadoran","ENT-RESTAURANTS AND OTHER FOOD SERVICES","3:15 p.m. to 3:19 p.m.","3:00 p.m. to 3:09 p.m.","Did not live in the United States or in Puerto Rico one year ago","El Salvador","Now married, spouse present","ENT-RESTAURANTS AND OTHER FOOD SERVICES","Foreign born",NA,"No (includes GQ)","EAT-COOKS","Females with own children under 6 years and 6 to 17 years",4500,4500,"El Salvador","037","08690","Florida/FL","Without private health insurance coverage","Without public health coverage","January through March","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No (includes GQ)",NA,NA,NA,NA,"EAT-COOKS",NA,"Latin America (POB = 303,310-399)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
"8241",37020,"P",174273,2,500,"Iowa/IA",1007588,34,"Born in the U.S.",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No",NA,"No","No",NA,NA,"Yes","No","No","No","No","No","No",0,8,"Drove alone","Car, truck, or van",NA,"No, speaks only English","Married","No","No","Two times","No",2006,"No, different house in US or Puerto Rico","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Husband/wife","None","No, has not attended in the last 3 months",NA,"some college credit, no degree",0,"Female","None","None",45000,50,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",NA,"Single","German","Not reported",NA,"Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","CON-CONSTRUCTION, INCL CLEANING DURING AND IMM AFTER","9:05 a.m. to 9:09 a.m.","9:00 a.m. to 9:04 a.m.","00500","Iowa/IA","Now married, spouse present","CON-CONSTRUCTION, INCL CLEANING DURING AND IMM AFTER","Native",NA,"No (includes GQ)","MGR-FINANCIAL MANAGERS","Females with own children under 6 years and 6 to 17 years",45000,45000,"Iowa/IA","501 percent or more","00500","Iowa/IA","With private health insurance coverage","Without public health coverage","October through December","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No (includes GQ)",NA,NA,NA,NA,"MGR-FINANCIAL MANAGERS",NA,"US state (POB = 001-059)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
"16099",73177,"P",1201940,2,1004,"Oklahoma/OK",1007588,28,"Born in the U.S.",NA,"Private not-for-profit employee","No","No","No","No","No",NA,NA,"No",NA,"No",NA,NA,NA,"No","Yes","No","No","No","No","No",0,20,"Drove alone","Car, truck, or van",NA,"No, speaks only English","Never married or under 15 years old",NA,NA,NA,NA,NA,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Biological son or daughter","None","No, has not attended in the last 3 months",NA,"no high school diploma",0,"Female","None","None",17000,40,"Within the past 12 months","48 to 49 weeks worked during past 12 months",NA,NA,"Not reported","Not reported","Not reported",NA,"Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","Yes",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","MED-OUTPATIENT CARE CENTERS","8:20 a.m. to 8:24 a.m.","8:00 a.m. to 8:04 a.m.",NA,NA,"Never married","MED-OUTPATIENT CARE CENTERS","Native",NA,"No (includes GQ)","CMS-SOCIAL WORKERS","Females with own children under 6 years only",17000,17000,"Oklahoma/OK","202","01000","Oklahoma/OK","With private health insurance coverage","Without public health coverage","April through June","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No (includes GQ)",NA,NA,"In subfamily 1","Parent in a parent/child subfamily","CMS-SOCIAL WORKERS",NA,"US state (POB = 001-059)","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes",NA,"Yes",NA,"Yes",NA,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No",TRUE
"5596",25192,"P",1121884,4,9904,"Florida/FL",1007588,45,"Not a citizen of the U.S.",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No","Not at all","No","Yes",NA,"No","No","No","No","Yes","No","No","No",0,20,"Drove alone","Car, truck, or van","Spanish","Yes, speaks another language","Never married or under 15 years old",NA,NA,NA,NA,NA,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Parent-in-law","None","No, has not attended in the last 3 months",NA,"no high school diploma",0,"Female","None","None",12000,40,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",2012,"Single","Cuban","Not reported","2000 or later","Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No",NA,NA,"With health insurance coverage","Cuban","CON-CONSTRUCTION, INCL CLEANING DURING AND IMM AFTER","6:50 a.m. to 6:54 a.m.","6:30 a.m. to 6:34 a.m.",NA,NA,"Never married","CON-CONSTRUCTION, INCL CLEANING DURING AND IMM AFTER","Foreign born",NA,"No (includes GQ)","CLN-MAIDS AND HOUSEKEEPING CLEANERS","Females with no own children",12000,12000,"Cuba","070","09900","Florida/FL","Without private health insurance coverage","With public health coverage","January through March","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No (includes GQ)",NA,NA,NA,NA,"CLN-MAIDS AND HOUSEKEEPING CLEANERS",NA,"Latin America (POB = 303,310-399)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No",NA,"No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",TRUE
"19695",88938,"P",1084693,1,4603,"Texas/TX",1007588,45,"Born in the U.S.",NA,"State government employee","No","No","No","No","No",NA,NA,"No",NA,NA,"No",NA,NA,"No","No","No","Yes","No","No","No",0,20,"In 2-person carpool","Car, truck, or van",NA,"No, speaks only English","Never married or under 15 years old",NA,NA,NA,NA,NA,"No, different house in US or Puerto Rico","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Reference person","None","No, has not attended in the last 3 months",NA,"Associate's degree",0,"Male","None","None",42000,40,"Within the past 12 months","50 to 52 weeks worked during past 12 months",NA,NA,"Single","African American","Not reported",NA,"Without a disability","0.500 vehicles (In a 2-person carpool)",NA,"Civilian employed, at work","No",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","EDU-ELEMENTARY AND SECONDARY SCHOOLS","4:20 a.m. to 4:24 a.m.","4:00 a.m. to 4:09 a.m.","04600","Texas/TX","Never married","EDU-ELEMENTARY AND SECONDARY SCHOOLS","Native",NA,"No (includes GQ)","CLN-GROUNDS MAINTENANCE WORKERS",NA,42000,42000,"Texas/TX","337","04600","Texas/TX","Without private health insurance coverage","With public health coverage","October through December","Black or African American alone","Black or African American alone","Black or African American alone","No","No","Yes","No",1,"No","No","No","No (includes GQ)",NA,NA,NA,NA,"CLN-GROUNDS MAINTENANCE WORKERS",NA,"US state (POB = 001-059)","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No",NA,"No","No","No",NA,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No",TRUE
